id,سال میلادی,ماه میلادی عدد ,نام ماه میلادی,روز میلادی عدد ,نام روز میلادی ,سال قمری,ماه قمری عدد,نام ماه قمری,روز قمری,روز عربی ,سال شمسی,ماه شمسی,نام ماه شمسی,روز شمسی عدد,روز شمسی,تعطیل,مناسبت
126,2020,7,Jul,23,Thursday,1441,12,ذیحجه,2,الخميس,1399,5,مرداد,2,پنج شنبه,,
127,2020,7,Jul,24,Friday,1441,12,ذیحجه,3,الجمعه,1399,5,مرداد,3,جمعه,تعطیل,
128,2020,7,Jul,25,Saturday,1441,12,ذیحجه,4,السبت,1399,5,مرداد,4,شنبه,,
129,2020,7,Jul,26,Sunday,1441,12,ذیحجه,5,الأحد,1399,5,مرداد,5,یکشنبه,,سالروز عملیات افتخار آفرین مرصاد (۱۳۶۷ هـ ش)
130,2020,7,Jul,27,Monday,1441,12,ذیحجه,6,الأثنين,1399,5,مرداد,6,دوشنبه,,روز کارآفرینی و آموزشهای فنی و حرفه ای - شهادت زائران خانه خدا به دست مأموران آل سعود (۱۳۶۶ ‫هـ‬ ش)
131,2020,7,Jul,28,Tuesday,1441,12,ذیحجه,7,الثلاثاء,1399,5,مرداد,7,سه شنبه,,شهادت امام محمد باقر (ع) (۱۱۴ هـ ق)
132,2020,7,Jul,29,Wednesday,1441,12,ذیحجه,8,الأربعاء,1399,5,مرداد,8,چهار شنبه,,روز بزرگداشت شیخ شهاب الدین سهروردی (شیخ اشراق)
133,2020,7,Jul,30,Thursday,1441,12,ذیحجه,9,الخميس,1399,5,مرداد,9,پنج شنبه,,روز اهدای خون
134,2020,7,Jul,31,Friday,1441,12,ذیحجه,10,الجمعه,1399,5,مرداد,10,جمعه,تعطیل,عید سعید قربان - روز جهانی شیر مادر
135,2020,8,Aug,1,Saturday,1441,12,ذیحجه,11,السبت,1399,5,مرداد,11,شنبه,,شهادت آیت الله شیخ فضل الله نوری (۱۲۸۸ هـ ش)
136,2020,8,Aug,2,Sunday,1441,12,ذیحجه,12,الأحد,1399,5,مرداد,12,یکشنبه,,
137,2020,8,Aug,3,Monday,1441,12,ذیحجه,13,الأثنين,1399,5,مرداد,13,دوشنبه,,
138,2020,8,Aug,4,Tuesday,1441,12,ذیحجه,14,الثلاثاء,1399,5,مرداد,14,سه شنبه,,صدور فرمان مشروطیت (۱۲۸۵ هـ ش) - روز حقوق بشر اسلامی و کرامت انسانی
139,2020,8,Aug,5,Wednesday,1441,12,ذیحجه,15,الأربعاء,1399,5,مرداد,15,چهار شنبه,,سالروز شهادت امیر سرلشکر خلبان عباس بابایی - انفجار بمب اتمی آمریکا در هیروشیما (۱۹۴۵ میلادی) - ولادت امام علی النقی الهادی (ع) (۲۱۲ هـ ق)
140,2020,8,Aug,6,Thursday,1441,12,ذیحجه,16,الخميس,1399,5,مرداد,16,پنج شنبه,, تشکیل جهاد دانشگاهی (۱۳۵۹ هـ ش)
141,2020,8,Aug,7,Friday,1441,12,ذیحجه,17,الجمعه,1399,5,مرداد,17,جمعه,تعطیل,روز خبرنگار
142,2020,8,Aug,8,Saturday,1441,12,ذیحجه,18,السبت,1399,5,مرداد,18,شنبه,تعطیل,عید سعید غدیر خم (۱۰ هـ ق)
143,2020,8,Aug,9,Sunday,1441,12,ذیحجه,19,الأحد,1399,5,مرداد,19,یکشنبه,,
